iter	Passed	Remaining
650	55893	29964
651	55970	29873
652	56047	29783
653	56119	29689
654	56193	29597
655	56266	29505
656	56336	29411
657	56409	29319
658	56493	29232
659	56572	29143
660	56655	29056
661	56733	28966
662	56807	28874
663	56886	28786
664	56960	28694
665	57040	28606
666	57115	28515
667	57198	28427
668	57283	28341
669	57370	28257
670	57449	28168
671	57520	28075
672	57598	27986
673	57680	27899
674	57753	27807
675	57830	27717
676	57900	27624
677	57977	27535
678	58038	27438
679	58113	27347
680	58194	27260
681	58272	27171
682	58352	27082
683	58420	26989
684	58497	26900
685	58591	26818
686	58668	26729
687	58742	26639
688	58807	26544
689	58882	26454
690	58977	26373
691	59054	26284
692	59123	26191
693	59218	26110
694	59293	26020
695	59372	25932
696	59452	25845
697	59536	25759
698	59608	25668
699	59690	25581
700	59773	25495
701	59854	25408
702	59929	25318
703	60006	25230
704	60079	25139
705	60162	25053
706	60257	24972
707	60339	24885
708	60417	24797
709	60496	24710
710	60574	24621
711	60663	24537
712	60743	24450
713	60829	24365
714	60908	24278
715	60983	24188
716	61063	24101
717	61137	24012
718	61219	23925
719	61284	23832
720	61385	23754
721	61478	23671
722	61556	23583
723	61645	23500
724	61719	23410
725	61789	23319
726	61872	23233
727	61955	23148
728	62029	23059
729	62114	22973
730	62192	22886
731	62267	22797
732	62340	22708
733	62438	22627
734	62520	22541
735	62592	22451
736	62672	22364
737	62746	22275
738	62813	22184
739	62895	22098
740	62970	22010
741	63060	21926
742	63150	21843
743	63233	21757
744	63323	21674
745	63399	21586
746	63480	21500
747	63566	21415
748	63648	21329
749	63726	21242
750	63819	21159
751	63900	21073
752	63983	20987
753	64057	20899
754	64136	20812
755	64211	20724
756	64290	20637
757	64401	20560
758	64481	20474
759	64555	20386
760	64634	20299
761	64713	20212
762	64789	20124
763	64885	20043
764	64961	19955
765	65041	19869
766	65115	19780
767	65193	19693
768	65270	19606
769	65344	19518
770	65425	19432
771	65498	19344
772	65572	19255
773	65659	19171
774	65730	19082
775	65804	18995
776	65867	18904
777	65950	18818
778	66029	18732
779	66108	18645
780	66175	18556
781	66251	18469
782	66328	18382
783	66400	18294
784	66482	18208
785	66566	18123
786	66643	18036
787	66715	17948
788	66791	17861
789	66860	17773
790	66943	17688
791	67019	17600
792	67097	17514
793	67169	17426
794	67247	17340
795	67332	17256
796	67401	17167
797	67478	17081
798	67546	16992
799	67624	16906
800	67717	16823
801	67791	16736
802	67862	16648
803	67945	16563
804	68020	16477
805	68095	16390
806	68166	16302
807	68245	16216
808	68318	16129
809	68394	16043
810	68496	15962
811	68575	15877
812	68656	15791
813	68730	15704
814	68812	15620
815	68882	15532
816	68968	15448
817	69048	15362
818	69121	15275
819	69207	15191
820	69285	15106
821	69365	15020
822	69453	14937
823	69543	14854
824	69620	14768
825	69692	14681
826	69771	14595
827	69836	14507
828	69917	14421
829	70013	14340
830	70086	14253
831	70161	14167
832	70239	14081
833	70326	13997
834	70403	13912
835	70488	13827
836	70569	13742
837	70646	13657
838	70728	13572
839	70802	13486
840	70881	13400
841	70958	13315
842	71037	13229
843	71108	13143
844	71182	13057
845	71257	12971
846	71333	12885
847	71428	12803
848	71518	12720
849	71593	12634
850	71669	12548
851	71746	12462
852	71833	12379
853	71925	12296
854	72005	12211
855	72092	12127
856	72171	12042
857	72241	11956
858	72333	11873
859	72401	11786
860	72476	11700
861	72569	11617
862	72656	11534
863	72739	11449
864	72812	11363
865	72896	11279
866	72974	11194
867	73061	11110
868	73136	11025
869	73219	10940
870	73298	10855
871	73381	10771
872	73450	10685
873	73539	10601
874	73615	10516
875	73695	10431
876	73768	10346
877	73844	10260
878	73918	10175
879	73997	10090
880	74074	10005
881	74155	9920
882	74223	9834
883	74308	9750
884	74386	9665
885	74459	9580
886	74529	9494
887	74605	9409
888	74679	9324
889	74761	9240
890	74837	9155
891	74915	9070
892	74992	8985
893	75065	8900
894	75142	8815
895	75223	8731
896	75300	8646
897	75377	8561
898	75452	8476
899	75527	8391
900	75608	8307
901	75686	8223
902	75769	8139
903	75865	8056
904	75952	7972
905	76037	7889
906	76116	7804
907	76197	7720
908	76277	7636
909	76353	7551
910	76436	7467
911	76511	7382
912	76591	7298
913	76667	7213
914	76744	7129
915	76822	7044
916	76924	6962
917	77001	6878
918	77079	6793
919	77159	6709
920	77231	6624
921	77317	6540
922	77392	6456
923	77481	6372
924	77562	6288
925	77641	6204
926	77718	6120
927	77795	6035
928	77885	5952
929	77967	5868
930	78041	5783
931	78132	5700
932	78213	5616
933	78289	5532
934	78369	5448
935	78444	5363
936	78521	5279
937	78602	5195
938	78684	5111
939	78757	5027
940	78836	4942
941	78911	4858
942	78992	4774
943	79065	4690
944	79147	4606
945	79225	4522
946	79302	4438
947	79390	4354
948	79466	4270
949	79545	4186
950	79612	4102
951	79687	4017
952	79762	3933
953	79835	3849
954	79899	3764
955	79972	3680
956	80051	3596
957	80140	3513
958	80224	3429
959	80317	3346
960	80401	3262
961	80480	3179
962	80558	3095
963	80639	3011
964	80727	2927
965	80803	2844
966	80881	2760
967	80962	2676
968	81034	2592
969	81112	2508
970	81189	2424
971	81290	2341
972	81379	2258
973	81454	2174
974	81531	2090
975	81601	2006
976	81677	1922
977	81752	1839
978	81860	1755
979	81940	1672
980	82024	1588
981	82097	1504
982	82172	1421
983	82253	1337
984	82338	1253
985	82412	1170
986	82491	1086
987	82567	1002
988	82640	919
989	82716	835
990	82792	751
991	82875	668
992	82955	584
993	83036	501
994	83112	417
995	83192	334
996	83267	250
997	83343	167
998	83429	83
999	83522	0
